Nom nbSommets valOpt temps
quatreSommets.txt 4 1 0
cinqSommets.txt 5 4 0
dixSommets.txt 10 12 11
quinzeSommets.txt 15 43 538
dixSeptSommets.txt 17 60 2540
vingtSommets.txt 20 39 24675
vingtEtunSommets.txt 21 107 56618
vingtDeuxSommets.txt 22 102 141465
vingtTroisSommets.txt 23 116 245954
vingtQuatreSommets.txt 24 129 639852
vingtCinqSommets.txt 25 152 1153714
RG_23_5.txt 23 1.32 164094
connex_10.txt 9 1 4
huitSommets_12.txt 8 0.8 2
deuxTriangles.txt 6 1 0
kl_graph.txt 6 0 0
huitSommets_11.txt 8 4 2
RG_13_3.txt 13 1.37 92
dixSommets_2.txt 10 0.1 10
CG_25_4.txt 25 0.65 720003
cG_25_4.txt 25 0.2 722146
random_10.txt 10 0.11 10
huitSommets_weight.txt 8 0.3 2
huitSommets.txt 8 2 2
