Nom nbSommets valOpt temps
vingtEtunSommets.txt 21 206 17
vingtDeuxSommets.txt 22 211 28
vingtTroisSommets.txt 23 225 33
vingtQuatreSommets.txt 24 249 39
vingtCinqSommets.txt 25 291 40
trenteSommets.txt 30 385 75
cinquanteSommets.txt 50 460 1201
centSommets.txt 100 1813 18172
cinqCentSommets.txt 500 6225 2696504
RG_50_5.txt 50 89.05 1767
RG_23_5.txt 23 25.47 63
centSommets_3.txt 100 757.55 21020
CG_25_4.txt 25 31.95 128
cG_25_4.txt 25 35.1 130
test_cluster.txt 28 72.95 275
test_gno.txt 28 136 174
28_3_clusters_ClusterGraph.txt 28 72.95 289
10_3_graph.txt 28 72.95 276
28_3_clusters.txt 28 72.95 277
28_3_clusters_SparseCluster.txt 28 62.65 275
28_3_clusters_SomeCluster.txt 28 62.875 280
28_3_clusters_EquiCluster.txt 28 67.5 294
football.txt 115 384 21265
