Nom nbSommets valOpt temps itérations
quatreSommets.txt 4 1 0 100
cinqSommets.txt 5 4 0 100
dixSommets.txt 10 12 2 100
quinzeSommets.txt 15 43 13 100
dixSeptSommets.txt 17 60 22 100
vingtSommets.txt 20 39 40 100
vingtEtunSommets.txt 21 107 54 100
vingtDeuxSommets.txt 22 102 64 100
vingtTroisSommets.txt 23 116 75 100
vingtQuatreSommets.txt 24 129 89 100
vingtCinqSommets.txt 25 152 107 100
trenteSommets.txt 30 188 215 100
cinquanteSommets.txt 50 191 1534 100
centSommets.txt 100 835 24966 100
cinqCentSommets.txt 500 2826 900029 4
milleSommets.txt 1000 3498 900143 4
RG_50_5.txt 50 8.65 1333 100
RG_23_5.txt 23 1.32 59 100
huitSommets_12.txt 8 0.8 1 100
deuxTriangles.txt 6 1 0 100
kl_graph.txt 6 0 0 100
huitSommets_11.txt 8 4 1 100
centSommets_3.txt 100 133.25 24698 100
RG_13_3.txt 13 1.37 6 100
dixSommets_2.txt 10 0.1 2 100
CG_25_4.txt 25 0.65 83 100
cG_25_4.txt 25 0.2 83 100
random_10.txt 10 0.11 2 100
huitSommets_weight.txt 8 0.3 1 100
test_cluster.txt 28 14.475 147 100
huitSommets.txt 8 2 1 100
test_gno.txt 28 43 147 100
28_3_clusters_ClusterGraph.txt 28 14.475 147 100
10_3_graph.txt 28 14.475 147 100
28_3_clusters.txt 28 14.475 147 100
28_3_clusters_SparseCluster.txt 28 7.2 136 100
28_3_clusters_SomeCluster.txt 28 7.55 137 100
28_3_clusters_EquiCluster.txt 28 11.575 142 100
football.txt 115 61 38554 94
