Nom nbSommets valOpt temps itérations
quatreSommets.txt 4 1 4 100
cinqSommets.txt 5 4 5 100
dixSommets.txt 10 12 32 100
quinzeSommets.txt 15 43 129 100
dixSeptSommets.txt 17 60 135 100
vingtSommets.txt 20 39 227 100
vingtEtunSommets.txt 21 107 117 100
vingtDeuxSommets.txt 22 102 346 100
vingtTroisSommets.txt 23 116 313 100
vingtQuatreSommets.txt 24 129 480 100
vingtCinqSommets.txt 25 152 202 100
trenteSommets.txt 30 188 1501 100
cinquanteSommets.txt 50 191 5757 100
centSommets.txt 100 834 77677 47
cinqCentSommets.txt 500 2889 900574 4
milleSommets.txt 1000 4081 900826 4
RG_50_5.txt 50 8.65 3967 100
RG_23_5.txt 23 1.32 348 100
huitSommets_12.txt 8 0.8 24 100
deuxTriangles.txt 6 1 11 100
kl_graph.txt 6 0 8 100
huitSommets_11.txt 8 4 15 100
centSommets_3.txt 100 133.25 58566 62
RG_13_3.txt 13 1.37 62 100
dixSommets_2.txt 10 0.1 42 100
CG_25_4.txt 25 0.65 439 100
cG_25_4.txt 25 0.2 429 100
random_10.txt 10 0.11 53 100
huitSommets_weight.txt 8 0.3 27 100
test_cluster.txt 28 14.475 888 100
huitSommets.txt 8 2 22 100
test_gno.txt 28 43 600 100
28_3_clusters_ClusterGraph.txt 28 14.475 929 100
10_3_graph.txt 28 14.475 939 100
28_3_clusters.txt 28 14.475 906 100
28_3_clusters_SparseCluster.txt 28 7.2 749 100
28_3_clusters_SomeCluster.txt 28 7.55 771 100
28_3_clusters_EquiCluster.txt 28 11.575 938 100
football.txt 115 61 25030 100
