Nom nbSommets valOpt temps itérations
cinqSommets.txt 5 7 3 100
dixSommets.txt 10 22 22 100
quinzeSommets.txt 15 70 58 100
dixSeptSommets.txt 17 92 80 100
vingtSommets.txt 20 62 310 100
vingtEtunSommets.txt 21 162 73 100
vingtDeuxSommets.txt 22 163 169 100
vingtTroisSommets.txt 23 176 330 100
vingtQuatreSommets.txt 24 194 345 100
vingtCinqSommets.txt 25 230 121 100
trenteSommets.txt 30 297 630 100
cinquanteSommets.txt 50 306 9525 100
RG_50_5.txt 50 15.55 4820 100
RG_23_5.txt 23 2.21 451 100
huitSommets_12.txt 8 3.7 21 100
deuxTriangles.txt 6 5 6 100
kl_graph.txt 6 2 7 100
huitSommets_11.txt 8 8 12 100
RG_13_3.txt 13 4.69 100 100
dixSommets_2.txt 10 5.1 41 100
CG_25_4.txt 25 1.65 495 100
cG_25_4.txt 25 0.5 471 100
random_10.txt 10 6.91 47 100
huitSommets_weight.txt 8 2.9 24 100
test_cluster.txt 28 27.925 1628 100
huitSommets.txt 8 6 15 100
test_gno.txt 28 72 1362 100
28_3_clusters_ClusterGraph.txt 28 27.925 1636 100
10_3_graph.txt 28 27.925 1666 100
28_3_clusters.txt 28 27.925 1530 100
28_3_clusters_SparseCluster.txt 28 18.4 1174 100
28_3_clusters_SomeCluster.txt 28 18.325 1247 100
28_3_clusters_EquiCluster.txt 28 23.2 1429 100
