Nom nbSommets valOpt temps itérations
quatreSommets.txt 4 1 0 100
cinqSommets.txt 5 4 0 100
dixSommets.txt 10 12 1 100
quinzeSommets.txt 15 43 11 100
dixSeptSommets.txt 17 60 19 100
vingtSommets.txt 20 39 33 100
vingtEtunSommets.txt 21 107 41 100
vingtDeuxSommets.txt 22 102 54 100
vingtTroisSommets.txt 23 116 66 100
vingtQuatreSommets.txt 24 129 75 100
vingtCinqSommets.txt 25 152 85 100
trenteSommets.txt 30 188 195 100
cinquanteSommets.txt 50 191 1423 100
centSommets.txt 100 834 24075 100
cinqCentSommets.txt 500 2846 900052 4
milleSommets.txt 1000 3542 900181 4
RG_50_5.txt 50 8.65 1254 100
RG_23_5.txt 23 1.32 53 100
huitSommets_12.txt 8 0.8 0 100
deuxTriangles.txt 6 1 0 100
kl_graph.txt 6 0 0 100
huitSommets_11.txt 8 4 0 100
centSommets_3.txt 100 133.25 23928 100
RG_13_3.txt 13 1.37 5 100
dixSommets_2.txt 10 0.1 1 100
CG_25_4.txt 25 0.65 72 100
cG_25_4.txt 25 0.2 74 100
random_10.txt 10 0.11 1 100
huitSommets_weight.txt 8 0.3 0 100
test_cluster.txt 28 14.475 132 100
huitSommets.txt 8 2 0 100
test_gno.txt 28 43 129 100
28_3_clusters_ClusterGraph.txt 28 14.475 132 100
10_3_graph.txt 28 14.475 132 100
28_3_clusters.txt 28 14.475 132 100
28_3_clusters_SparseCluster.txt 28 7.2 122 100
28_3_clusters_SomeCluster.txt 28 7.55 122 100
28_3_clusters_EquiCluster.txt 28 11.575 127 100
football.txt 115 61 37426 97
