Nom nbSommets valOpt temps itérations
cinqSommets.txt 5 7 0 100
dixSommets.txt 10 22 1 100
quinzeSommets.txt 15 70 4 100
dixSeptSommets.txt 17 92 18 100
vingtSommets.txt 20 62 27 100
vingtEtunSommets.txt 21 162 42 100
vingtDeuxSommets.txt 22 163 33 100
vingtTroisSommets.txt 23 176 20 100
vingtQuatreSommets.txt 24 194 58 100
vingtCinqSommets.txt 25 230 84 100
trenteSommets.txt 30 297 111 100
cinquanteSommets.txt 50 306 796 100
RG_50_5.txt 50 15.55 713 100
RG_23_5.txt 23 2.21 17 100
huitSommets_12.txt 8 3.7 0 100
deuxTriangles.txt 6 5 0 100
kl_graph.txt 6 2 0 100
huitSommets_11.txt 8 8 0 100
RG_13_3.txt 13 4.69 5 100
dixSommets_2.txt 10 5.1 1 100
CG_25_4.txt 25 1.65 68 100
cG_25_4.txt 25 0.5 69 100
random_10.txt 10 6.91 1 100
huitSommets_weight.txt 8 2.9 0 100
test_cluster.txt 28 29.025 94 100
huitSommets.txt 8 6 0 100
test_gno.txt 28 72 96 100
28_3_clusters_ClusterGraph.txt 28 29.55 95 100
10_3_graph.txt 28 29.35 94 100
28_3_clusters.txt 28 28.7 95 100
28_3_clusters_SparseCluster.txt 28 19.125 89 100
28_3_clusters_SomeCluster.txt 28 19.425 91 100
28_3_clusters_EquiCluster.txt 28 24.15 94 100
